,0,tags_normal,descr_normal,final-1_tag_normal,inverted,tags_inverted,descr_inverted,first_tag_inverted
0,The men went to the future.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The men] [V: went] [ARG4: to the future] .,ARG4,"To the future, the men went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the future] , [ARG0: the men] [V: went] .",ARG4
1,The men went to the party.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The men] [V: went] [ARG4: to the party] .,ARG4,"To the party, the men went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the party] , [ARG0: the men] [V: went] .",ARG4
2,The animals went to the park.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The animals] [V: went] [ARG4: to the park] .,ARG4,"To the park, the animals went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the park] , [ARG0: the animals] [V: went] .",ARG4
3,The women went to the cage.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The women] [V: went] [ARG4: to the cage] .,ARG4,"To the cage, the women went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the cage] , [ARG0: the women] [V: went] .",ARG4
4,The animals went to the wedding.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The animals] [V: went] [ARG4: to the wedding] .,ARG4,"To the wedding, the animals went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the wedding] , [ARG0: the animals] [V: went] .",ARG4
5,The animals went to the future.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The animals] [V: went] [ARG4: to the future] .,ARG4,"To the future, the animals went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the future] , [ARG0: the animals] [V: went] .",ARG4
6,The animals went to the party.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The animals] [V: went] [ARG4: to the party] .,ARG4,"To the party, the animals went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the party] , [ARG0: the animals] [V: went] .",ARG4
7,The animals went to the future.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The animals] [V: went] [ARG4: to the future] .,ARG4,"To the future, the animals went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the future] , [ARG0: the animals] [V: went] .",ARG4
8,The girls went to the party.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The girls] [V: went] [ARG4: to the party] .,ARG4,"To the party, the girls went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the party] , [ARG0: the girls] [V: went] .",ARG4
9,The men went to the funeral.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The men] [V: went] [ARG4: to the funeral] .,ARG4,"To the funeral, the men went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the funeral] , [ARG0: the men] [V: went] .",ARG4
10,The animals went to the park.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The animals] [V: went] [ARG4: to the park] .,ARG4,"To the park, the animals went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the park] , [ARG0: the animals] [V: went] .",ARG4
11,The women went to the building.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The women] [V: went] [ARG4: to the building] .,ARG4,"To the building, the women went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the building] , [ARG0: the women] [V: went] .",ARG4
12,The horses went to the park.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The horses] [V: went] [ARG4: to the park] .,ARG4,"To the park, the horses went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the park] , [ARG0: the horses] [V: went] .",ARG4
13,The horses went to the park.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The horses] [V: went] [ARG4: to the park] .,ARG4,"To the park, the horses went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the park] , [ARG0: the horses] [V: went] .",ARG4
14,The animals went to the funeral.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The animals] [V: went] [ARG4: to the funeral] .,ARG4,"To the funeral, the animals went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the funeral] , [ARG0: the animals] [V: went] .",ARG4
15,The boys went to the park.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The boys] [V: went] [ARG4: to the park] .,ARG4,"To the park, the boys went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the park] , [ARG0: the boys] [V: went] .",ARG4
16,The animals went to the tent.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The animals] [V: went] [ARG4: to the tent] .,ARG4,"To the tent, the animals went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the tent] , [ARG0: the animals] [V: went] .",ARG4
17,The men went to the tent.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The men] [V: went] [ARG4: to the tent] .,ARG4,"To the tent, the men went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the tent] , [ARG0: the men] [V: went] .",ARG4
18,The animals went to the classroom.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The animals] [V: went] [ARG4: to the classroom] .,ARG4,"To the classroom, the animals went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the classroom] , [ARG0: the animals] [V: went] .",ARG4
19,The horses went to the future.,"['B-ARG1', 'I-ARG1', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG1: The horses] [V: went] [ARG4: to the future] .,ARG4,"To the future, the horses went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the future] , [ARG0: the horses] [V: went] .",ARG4
20,The boys went to the future.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The boys] [V: went] [ARG4: to the future] .,ARG4,"To the future, the boys went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the future] , [ARG0: the boys] [V: went] .",ARG4
21,The animals went to the cage.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The animals] [V: went] [ARG4: to the cage] .,ARG4,"To the cage, the animals went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the cage] , [ARG0: the animals] [V: went] .",ARG4
22,The girls went to the classroom.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The girls] [V: went] [ARG4: to the classroom] .,ARG4,"To the classroom, the girls went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the classroom] , [ARG0: the girls] [V: went] .",ARG4
23,The animals went to the party.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The animals] [V: went] [ARG4: to the party] .,ARG4,"To the party, the animals went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the party] , [ARG0: the animals] [V: went] .",ARG4
24,The women went to the wedding.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The women] [V: went] [ARG4: to the wedding] .,ARG4,"To the wedding, the women went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the wedding] , [ARG0: the women] [V: went] .",ARG4
25,The boys went to the tent.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The boys] [V: went] [ARG4: to the tent] .,ARG4,"To the tent, the boys went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the tent] , [ARG0: the boys] [V: went] .",ARG4
26,The boys went to the building.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The boys] [V: went] [ARG4: to the building] .,ARG4,"To the building, the boys went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the building] , [ARG0: the boys] [V: went] .",ARG4
27,The girls went to the classroom.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The girls] [V: went] [ARG4: to the classroom] .,ARG4,"To the classroom, the girls went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the classroom] , [ARG0: the girls] [V: went] .",ARG4
28,The men went to the park.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The men] [V: went] [ARG4: to the park] .,ARG4,"To the park, the men went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the park] , [ARG0: the men] [V: went] .",ARG4
29,The animals went to the party.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The animals] [V: went] [ARG4: to the party] .,ARG4,"To the party, the animals went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the party] , [ARG0: the animals] [V: went] .",ARG4
30,The women went to the building.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The women] [V: went] [ARG4: to the building] .,ARG4,"To the building, the women went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the building] , [ARG0: the women] [V: went] .",ARG4
31,The men went to the building.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The men] [V: went] [ARG4: to the building] .,ARG4,"To the building, the men went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the building] , [ARG0: the men] [V: went] .",ARG4
32,The boys went to the cage.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The boys] [V: went] [ARG4: to the cage] .,ARG4,"To the cage, the boys went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the cage] , [ARG0: the boys] [V: went] .",ARG4
33,The girls went to the funeral.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The girls] [V: went] [ARG4: to the funeral] .,ARG4,"To the funeral, the girls went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the funeral] , [ARG0: the girls] [V: went] .",ARG4
34,The men went to the wedding.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The men] [V: went] [ARG4: to the wedding] .,ARG4,"To the wedding, the men went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the wedding] , [ARG0: the men] [V: went] .",ARG4
35,The girls went to the funeral.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The girls] [V: went] [ARG4: to the funeral] .,ARG4,"To the funeral, the girls went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the funeral] , [ARG0: the girls] [V: went] .",ARG4
36,The boys went to the building.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The boys] [V: went] [ARG4: to the building] .,ARG4,"To the building, the boys went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the building] , [ARG0: the boys] [V: went] .",ARG4
37,The horses went to the tent.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The horses] [V: went] [ARG4: to the tent] .,ARG4,"To the tent, the horses went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the tent] , [ARG0: the horses] [V: went] .",ARG4
38,The women went to the park.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The women] [V: went] [ARG4: to the park] .,ARG4,"To the park, the women went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the park] , [ARG0: the women] [V: went] .",ARG4
39,The animals went to the wedding.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The animals] [V: went] [ARG4: to the wedding] .,ARG4,"To the wedding, the animals went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the wedding] , [ARG0: the animals] [V: went] .",ARG4
