,original,switched,tags_original,descr_original,tags_switched,descr_switched,final-1_arg_original,first_arg_switch,orginal_switched_match
0,I wont eat that ricotta.,"That ricotta, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that ricotta] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That ricotta] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
1,I wont eat that butter.,"That butter, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that butter] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That butter] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
2,I wont eat that challah.,"That challah, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that challah] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That challah] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
3,I wont eat that littleneck.,"That littleneck, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that littleneck] .,"['B-ARGM-ADV', 'I-ARGM-ADV', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARGM-ADV: That littleneck] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARGM-ADV,False
4,I wont eat that lime.,"That lime, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that lime] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That lime] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
5,I wont eat that macoun.,"That macoun, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that macoun] .,"['B-ARGM-DIS', 'I-ARGM-DIS', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARGM-DIS: That macoun] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARGM-DIS,False
6,I wont eat that poultry.,"That poultry, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that poultry] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That poultry] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
7,I wont eat that sucker.,"That sucker, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that sucker] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That sucker] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
8,I wont eat that blini.,"That blini, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that blini] .,"['B-ARGM-ADV', 'I-ARGM-ADV', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARGM-ADV: That blini] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARGM-ADV,False
9,I wont eat that cowpea.,"That cowpea, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that cowpea] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That cowpea] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
