,0,pp_tag,pp_descr,1
0,Pierre walks in Poitiers.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Pierre] [V: walks] [ARGM-LOC: in Poitiers] .,I-ARGM-LOC
1,Jean-Marie walks in Tourcoing.,"['B-ARG0', 'I-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Jean - Marie] [V: walks] [ARGM-LOC: in Tourcoing] .,I-ARGM-LOC
2,Jean walks in Saint-Pierre.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Jean] [V: walks] [ARGM-LOC: in Saint - Pierre] .,I-ARGM-LOC
3,André walks in Asnières-sur-Seine.,André walks in Asnières-sur-Seine.,André walks in Asnières-sur-Seine.,e
4,Marcel walks in Champigny-sur-Marne.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Marcel] [V: walks] [ARGM-LOC: in Champigny - sur - Marne] .,I-ARGM-LOC
5,Eric walks in Paris.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Eric] [V: walks] [ARGM-LOC: in Paris] .,I-ARGM-LOC
6,Jacques walks in Aulnay-sous-Bois.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Jacques] [V: walks] [ARGM-LOC: in Aulnay - sous - Bois] .,I-ARGM-LOC
7,Eric walks in Aubervilliers.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Eric] [V: walks] [ARGM-LOC: in Aubervilliers] .,I-ARGM-LOC
8,Robert walks in Aubervilliers.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Robert] [V: walks] [ARGM-LOC: in Aubervilliers] .,I-ARGM-LOC
9,Michel walks in Le Tampon.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Michel] [V: walks] [ARGM-LOC: in Le Tampon] .,I-ARGM-LOC
10,Emmanuel walks in Le Tampon.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Emmanuel] [V: walks] [ARGM-LOC: in Le Tampon] .,I-ARGM-LOC
11,Maurice walks in Paris.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Maurice] [V: walks] [ARGM-LOC: in Paris] .,I-ARGM-LOC
