,0,pp_tag,pp_descr,1
0,I saw the rolling office chair with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the rolling office chair with my eyes] .,I-ARG1
1,I saw the orange juice box with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the orange juice box with my eyes] .,I-ARG1
2,I saw the telephone with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the telephone with my eyes] .,I-ARG1
3,I saw the toothbrush with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the toothbrush with my eyes] .,I-ARG1
4,I saw the footstool with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the footstool with my eyes] .,I-ARG1
5,I saw the pliers with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the pliers with my eyes] .,I-ARG1
6,I saw the milk jug with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the milk jug with my eyes] .,I-ARG1
7,I saw the book with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the book with my eyes] .,I-ARG1
8,I saw the refrigerator with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the refrigerator with my eyes] .,I-ARG1
9,I saw the standing lamp with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the standing lamp with my eyes] .,I-ARG1
10,I saw the coffeepot with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the coffeepot with my eyes] .,I-ARG1
11,I saw the spray bottle with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the spray bottle with my eyes] .,I-ARG1
12,I saw the wooden chair with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the wooden chair with my eyes] .,I-ARG1
13,I saw the umbrella with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the umbrella with my eyes] .,I-ARG1
14,I saw the teapot with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the teapot with my eyes] .,I-ARG1
15,I saw the power outlet with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the power outlet with my eyes] .,I-ARG1
20,I saw the coffee mug with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the coffee mug with my eyes] .,I-ARG1
21,I saw the dresser with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the dresser with my eyes] .,I-ARG1
24,I saw the desk lamp with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the desk lamp with my eyes] .,I-ARG1
28,I saw the toothpaste with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the toothpaste with my eyes] .,I-ARG1
29,I saw the sofa with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the sofa with my eyes] .,I-ARG1
30,I saw the briefcase with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the briefcase with my eyes] .,I-ARG1
32,I saw the iron with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the iron with my eyes] .,I-ARG1
35,I saw the bathtub with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the bathtub with my eyes] .,I-ARG1
36,I saw the stove with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: saw] [ARG1: the stove] [ARGM-MNR: with my eyes] .,I-ARGM-MNR
37,I saw the fork with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the fork with my eyes] .,I-ARG1
40,I saw the baby bottle with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the baby bottle with my eyes] .,I-ARG1
43,I saw the stapler with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the stapler with my eyes] .,I-ARG1
46,I saw the spoon with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the spoon with my eyes] .,I-ARG1
48,I saw the teacup with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the teacup with my eyes] .,I-ARG1
52,I saw the plush chair with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the plush chair with my eyes] .,I-ARG1
53,I saw the toilet with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the toilet with my eyes] .,I-ARG1
65,I saw the shoe with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the shoe with my eyes] .,I-ARG1
70,I saw the ornate mirror with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the ornate mirror with my eyes] .,I-ARG1
75,I saw the bathroom sink with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the bathroom sink with my eyes] .,I-ARG1
83,I saw the kitchen table with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the kitchen table with my eyes] .,I-ARG1
98,I saw the clothespin with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the clothespin with my eyes] .,I-ARG1
100,I smelled the sofa with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the sofa] [ARGM-MNR: with my nose] .,I-ARGM-MNR
101,I smelled the book with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: smelled] [ARG1: the book with my nose] .,I-ARG1
102,I smelled the footstool with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: smelled] [ARG1: the footstool with my nose] .,I-ARG1
103,I smelled the bathtub with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the bathtub] [ARGM-MNR: with my nose] .,I-ARGM-MNR
104,I smelled the teacup with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: smelled] [ARG1: the teacup with my nose] .,I-ARG1
105,I smelled the kitchen table with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the kitchen table] [ARGM-MNR: with my nose] .,I-ARGM-MNR
106,I smelled the toothpaste with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: smelled] [ARG1: the toothpaste with my nose] .,I-ARG1
107,I smelled the wooden chair with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: smelled] [ARG1: the wooden chair with my nose] .,I-ARG1
108,I smelled the hammer with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the hammer] [ARGM-MNR: with my nose] .,I-ARGM-MNR
110,I smelled the toothbrush with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: smelled] [ARG1: the toothbrush with my nose] .,I-ARG1
111,I smelled the coffee table with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the coffee table] [ARGM-MNR: with my nose] .,I-ARGM-MNR
112,I smelled the briefcase with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the briefcase] [ARGM-MNR: with my nose] .,I-ARGM-MNR
114,I smelled the fork with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the fork] [ARGM-MNR: with my nose] .,I-ARGM-MNR
115,I smelled the pliers with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: smelled] [ARG1: the pliers with my nose] .,I-ARG1
