,0,active,tags_act,descr_act,tags_pass,descr_pass,first_tag_act,final_min_one_pass,arg0_match
0,Walter is shot by Greg.,Greg shoots Walter.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Greg] [V: shoots] [ARG1: Walter] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Walter] is [V: shot] [ARG0: by Greg] .,ARG0,ARG0,True
1,Alice is shot by Kenneth.,Kenneth shoots Alice.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Kenneth] [V: shoots] [ARG1: Alice] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Alice] is [V: shot] [ARG0: by Kenneth] .,ARG0,ARG0,True
2,Leslie is shot by Emma.,Emma shoots Leslie.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Emma] [V: shoots] [ARG1: Leslie] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Leslie] is [V: shot] [ARG0: by Emma] .,ARG0,ARG0,True
3,Amy is shot by Lauren.,Lauren shoots Amy.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Lauren] [V: shoots] [ARG1: Amy] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Amy] is [V: shot] [ARG0: by Lauren] .,ARG0,ARG0,True
4,Richard is shot by Julie.,Julie shoots Richard.,"['B-ARG0', 'B-V', 'B-ARG2', 'O']",[ARG0: Julie] [V: shoots] [ARG2: Richard] .,"['B-ARG1', 'O', 'B-V', 'B-ARG2', 'I-ARG2', 'O']",[ARG1: Richard] is [V: shot] [ARG2: by Julie] .,ARG0,ARG2,False
5,Tim is shot by Tom.,Tom shoots Tim.,[],[],"['B-ARG1', 'O', 'B-V', 'B-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG1: Tim] is [V: shot] [ARGM-MNR: by Tom] .,[],ARGM-MNR,False
6,Mike is shot by Peter.,Peter shoots Mike.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Peter] [V: shoots] [ARG1: Mike] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Mike] is [V: shot] [ARG0: by Peter] .,ARG0,ARG0,True
7,Florence is shot by Victoria.,Victoria shoots Florence.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Victoria] [V: shoots] [ARG1: Florence] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Florence] is [V: shot] [ARG0: by Victoria] .,ARG0,ARG0,True
8,Brian is shot by Don.,Don shoots Brian.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Don] [V: shoots] [ARG1: Brian] .,"['B-ARG1', 'O', 'B-V', 'B-ARG2', 'I-ARG2', 'O']",[ARG1: Brian] is [V: shot] [ARG2: by Don] .,ARG0,ARG2,False
9,Nancy is shot by Ann.,Ann shoots Nancy.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Ann] [V: shoots] [ARG1: Nancy] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Nancy] is [V: shot] [ARG0: by Ann] .,ARG0,ARG0,True
10,Karen is shot by Fred.,Fred shoots Karen.,[],[],"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Karen] is [V: shot] [ARG0: by Fred] .,[],ARG0,False
11,Keith is shot by Edwin.,Edwin shoots Keith.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Edwin] [V: shoots] [ARG1: Keith] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Keith] is [V: shot] [ARG0: by Edwin] .,ARG0,ARG0,True
12,Edwin is shot by Mark.,Mark shoots Edwin.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Mark] [V: shoots] [ARG1: Edwin] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Edwin] is [V: shot] [ARG0: by Mark] .,ARG0,ARG0,True
13,Tony is shot by Howard.,Howard shoots Tony.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Howard] [V: shoots] [ARG1: Tony] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Tony] is [V: shot] [ARG0: by Howard] .,ARG0,ARG0,True
14,Fred is shot by David.,David shoots Fred.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: David] [V: shoots] [ARG1: Fred] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Fred] is [V: shot] [ARG0: by David] .,ARG0,ARG0,True
15,Elaine is shot by Maria.,Maria shoots Elaine.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Maria] [V: shoots] [ARG1: Elaine] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Elaine] is [V: shot] [ARG0: by Maria] .,ARG0,ARG0,True
16,Carol is shot by Ralph.,Ralph shoots Carol.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Ralph] [V: shoots] [ARG1: Carol] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Carol] is [V: shot] [ARG0: by Ralph] .,ARG0,ARG0,True
17,Matt is shot by Bob.,Bob shoots Matt.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Bob] [V: shoots] [ARG1: Matt] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Matt] is [V: shot] [ARG0: by Bob] .,ARG0,ARG0,True
18,Edwin is shot by Kathleen.,Kathleen shoots Edwin.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Kathleen] [V: shoots] [ARG1: Edwin] .,"['B-ARG1', 'O', 'B-V', 'B-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG1: Edwin] is [V: shot] [ARGM-MNR: by Kathleen] .,ARG0,ARGM-MNR,False
19,Alexander is shot by Lisa.,Lisa shoots Alexander.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Lisa] [V: shoots] [ARG1: Alexander] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Alexander] is [V: shot] [ARG0: by Lisa] .,ARG0,ARG0,True
20,Christopher is shot by Arthur.,Arthur shoots Christopher.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Arthur] [V: shoots] [ARG1: Christopher] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Christopher] is [V: shot] [ARG0: by Arthur] .,ARG0,ARG0,True
21,Donna is shot by Kenneth.,Kenneth shoots Donna.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Kenneth] [V: shoots] [ARG1: Donna] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Donna] is [V: shot] [ARG0: by Kenneth] .,ARG0,ARG0,True
22,Kevin is shot by Marilyn.,Marilyn shoots Kevin.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Marilyn] [V: shoots] [ARG1: Kevin] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Kevin] is [V: shot] [ARG0: by Marilyn] .,ARG0,ARG0,True
23,Alan is shot by Frances.,Frances shoots Alan.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Frances] [V: shoots] [ARG1: Alan] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Alan] is [V: shot] [ARG0: by Frances] .,ARG0,ARG0,True
24,Larry is shot by Alfred.,Alfred shoots Larry.,[],[],"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Larry] is [V: shot] [ARG0: by Alfred] .,[],ARG0,False
