,0,pp_tag,pp_descr,1
0,Samuel walks in Virginia Beach.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Samuel] [V: walks] [ARGM-LOC: in Virginia Beach] .,I-ARGM-LOC
1,Bill walks in Houston.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Bill] [V: walks] [ARGM-LOC: in Houston] .,I-ARGM-LOC
2,Daniel walks in Anchorage.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Daniel] [V: walks] [ARGM-LOC: in Anchorage] .,I-ARGM-LOC
3,Martin walks in St. Petersburg.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Martin] [V: walks] [ARGM-LOC: in St. Petersburg] .,I-ARGM-LOC
4,Ken walks in Baton Rouge.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Ken] [V: walks] [ARGM-LOC: in Baton Rouge] .,I-ARGM-LOC
5,Alexander walks in Jersey City.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Alexander] [V: walks] [ARGM-LOC: in Jersey City] .,I-ARGM-LOC
6,Peter walks in Hialeah.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Peter] [V: walks] [ARGM-LOC: in Hialeah] .,I-ARGM-LOC
7,Francis walks in Atlanta.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Francis] [V: walks] [ARGM-LOC: in Atlanta] .,I-ARGM-LOC
8,John walks in New Orleans.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: John] [V: walks] [ARGM-LOC: in New Orleans] .,I-ARGM-LOC
9,Donald walks in Durham.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Donald] [V: walks] [ARGM-LOC: in Durham] .,I-ARGM-LOC
10,Carl walks in Toledo.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Carl] [V: walks] [ARGM-LOC: in Toledo] .,I-ARGM-LOC
11,Ken walks in Oklahoma City.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Ken] [V: walks] [ARGM-LOC: in Oklahoma City] .,I-ARGM-LOC
12,Harold walks in Tulsa.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Harold] [V: walks] [ARGM-LOC: in Tulsa] .,I-ARGM-LOC
13,John walks in Memphis.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: John] [V: walks] [ARGM-LOC: in Memphis] .,I-ARGM-LOC
