,0,active,tags_act,descr_act,tags_pass,descr_pass,first_tag_act,final_min_one_pass,arg0_match
0,Edith is not shot by Kathryn.,Kathryn does not shoot Edith.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Kathryn] does [ARGM-NEG: not] [V: shoot] [ARG1: Edith] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Edith] is [ARGM-NEG: not] [V: shot] [ARG0: by Kathryn] .,ARG0,ARG0,True
1,Martin is not shot by Suzanne.,Suzanne does not shoot Martin.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Suzanne] does [ARGM-NEG: not] [V: shoot] [ARG1: Martin] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Martin] is [ARGM-NEG: not] [V: shot] [ARG0: by Suzanne] .,ARG0,ARG0,True
2,Linda is not shot by Judy.,Judy does not shoot Linda.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Judy] does [ARGM-NEG: not] [V: shoot] [ARG1: Linda] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Linda] is [ARGM-NEG: not] [V: shot] [ARG0: by Judy] .,ARG0,ARG0,True
3,Sharon is not shot by Ron.,Ron does not shoot Sharon.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Ron] does [ARGM-NEG: not] [V: shoot] [ARG1: Sharon] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Sharon] is [ARGM-NEG: not] [V: shot] [ARG0: by Ron] .,ARG0,ARG0,True
4,Suzanne is not shot by Scott.,Scott does not shoot Suzanne.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Scott] does [ARGM-NEG: not] [V: shoot] [ARG1: Suzanne] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Suzanne] is [ARGM-NEG: not] [V: shot] [ARG0: by Scott] .,ARG0,ARG0,True
5,Ryan is not shot by Colin.,Colin does not shoot Ryan.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Colin] does [ARGM-NEG: not] [V: shoot] [ARG1: Ryan] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Ryan] is [ARGM-NEG: not] [V: shot] [ARG0: by Colin] .,ARG0,ARG0,True
6,Emma is not shot by Nancy.,Nancy does not shoot Emma.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Nancy] does [ARGM-NEG: not] [V: shoot] [ARG1: Emma] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Emma] is [ARGM-NEG: not] [V: shot] [ARG0: by Nancy] .,ARG0,ARG0,True
7,Philip is not shot by Roger.,Roger does not shoot Philip.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Roger] does [ARGM-NEG: not] [V: shoot] [ARG1: Philip] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Philip] is [ARGM-NEG: not] [V: shot] [ARG0: by Roger] .,ARG0,ARG0,True
8,William is not shot by Tom.,Tom does not shoot William.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Tom] does [ARGM-NEG: not] [V: shoot] [ARG1: William] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: William] is [ARGM-NEG: not] [V: shot] [ARG0: by Tom] .,ARG0,ARG0,True
9,Matthew is not shot by Pamela.,Pamela does not shoot Matthew.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Pamela] does [ARGM-NEG: not] [V: shoot] [ARG1: Matthew] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Matthew] is [ARGM-NEG: not] [V: shot] [ARG0: by Pamela] .,ARG0,ARG0,True
10,Carolyn is not shot by Jessica.,Jessica does not shoot Carolyn.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Jessica] does [ARGM-NEG: not] [V: shoot] [ARG1: Carolyn] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Carolyn] is [ARGM-NEG: not] [V: shot] [ARG0: by Jessica] .,ARG0,ARG0,True
11,Ed is not shot by Greg.,Greg does not shoot Ed.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Greg] does [ARGM-NEG: not] [V: shoot] [ARG1: Ed] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Ed] is [ARGM-NEG: not] [V: shot] [ARG0: by Greg] .,ARG0,ARG0,True
12,Leslie is not shot by Betty.,Betty does not shoot Leslie.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Betty] does [ARGM-NEG: not] [V: shoot] [ARG1: Leslie] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Leslie] is [ARGM-NEG: not] [V: shot] [ARG0: by Betty] .,ARG0,ARG0,True
13,Jerry is not shot by Linda.,Linda does not shoot Jerry.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Linda] does [ARGM-NEG: not] [V: shoot] [ARG1: Jerry] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Jerry] is [ARGM-NEG: not] [V: shot] [ARG0: by Linda] .,ARG0,ARG0,True
14,Harry is not shot by Tom.,Tom does not shoot Harry.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Tom] does [ARGM-NEG: not] [V: shoot] [ARG1: Harry] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Harry] is [ARGM-NEG: not] [V: shot] [ARG0: by Tom] .,ARG0,ARG0,True
15,Katherine is not shot by Kathy.,Kathy does not shoot Katherine.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Kathy] does [ARGM-NEG: not] [V: shoot] [ARG1: Katherine] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Katherine] is [ARGM-NEG: not] [V: shot] [ARG0: by Kathy] .,ARG0,ARG0,True
16,Robin is not shot by Hugh.,Hugh does not shoot Robin.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Hugh] does [ARGM-NEG: not] [V: shoot] [ARG1: Robin] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Robin] is [ARGM-NEG: not] [V: shot] [ARG0: by Hugh] .,ARG0,ARG0,True
17,Greg is not shot by Jessica.,Jessica does not shoot Greg.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG2', 'O']",[ARG0: Jessica] does [ARGM-NEG: not] [V: shoot] [ARG2: Greg] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Greg] is [ARGM-NEG: not] [V: shot] [ARG0: by Jessica] .,ARG0,ARG0,True
18,Dorothy is not shot by Kim.,Kim does not shoot Dorothy.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Kim] does [ARGM-NEG: not] [V: shoot] [ARG1: Dorothy] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Dorothy] is [ARGM-NEG: not] [V: shot] [ARG0: by Kim] .,ARG0,ARG0,True
19,Ruth is not shot by David.,David does not shoot Ruth.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: David] does [ARGM-NEG: not] [V: shoot] [ARG1: Ruth] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Ruth] is [ARGM-NEG: not] [V: shot] [ARG0: by David] .,ARG0,ARG0,True
20,Ryan is not shot by Ray.,Ray does not shoot Ryan.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Ray] does [ARGM-NEG: not] [V: shoot] [ARG1: Ryan] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Ryan] is [ARGM-NEG: not] [V: shot] [ARG0: by Ray] .,ARG0,ARG0,True
21,Louis is not shot by Mike.,Mike does not shoot Louis.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARGM-DIS', 'O']",[ARG0: Mike] does [ARGM-NEG: not] [V: shoot] [ARGM-DIS: Louis] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Louis] is [ARGM-NEG: not] [V: shot] [ARG0: by Mike] .,ARG0,ARG0,True
22,Wendy is not shot by Stephanie.,Stephanie does not shoot Wendy.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Stephanie] does [ARGM-NEG: not] [V: shoot] [ARG1: Wendy] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Wendy] is [ARGM-NEG: not] [V: shot] [ARG0: by Stephanie] .,ARG0,ARG0,True
23,Tim is not shot by Marie.,Marie does not shoot Tim.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARGM-DIS', 'O']",[ARG0: Marie] does [ARGM-NEG: not] [V: shoot] [ARGM-DIS: Tim] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Tim] is [ARGM-NEG: not] [V: shot] [ARG0: by Marie] .,ARG0,ARG0,True
24,Kathy is not shot by Jimmy.,Jimmy does not shoot Kathy.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Jimmy] does [ARGM-NEG: not] [V: shoot] [ARG1: Kathy] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Kathy] is [ARGM-NEG: not] [V: shot] [ARG0: by Jimmy] .,ARG0,ARG0,True
25,Fred is not shot by Paul.,Paul does not shoot Fred.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Paul] does [ARGM-NEG: not] [V: shoot] [ARG1: Fred] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Fred] is [ARGM-NEG: not] [V: shot] [ARG0: by Paul] .,ARG0,ARG0,True
26,Al is not shot by Leslie.,Leslie does not shoot Al.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Leslie] does [ARGM-NEG: not] [V: shoot] [ARG1: Al] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Al] is [ARGM-NEG: not] [V: shot] [ARG0: by Leslie] .,ARG0,ARG0,True
27,James is not shot by Bobby.,Bobby does not shoot James.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Bobby] does [ARGM-NEG: not] [V: shoot] [ARG1: James] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: James] is [ARGM-NEG: not] [V: shot] [ARG0: by Bobby] .,ARG0,ARG0,True
28,Albert is not shot by George.,George does not shoot Albert.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: George] does [ARGM-NEG: not] [V: shoot] [ARG1: Albert] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Albert] is [ARGM-NEG: not] [V: shot] [ARG0: by George] .,ARG0,ARG0,True
29,Jimmy is not shot by Paul.,Paul does not shoot Jimmy.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Paul] does [ARGM-NEG: not] [V: shoot] [ARG1: Jimmy] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Jimmy] is [ARGM-NEG: not] [V: shot] [ARG0: by Paul] .,ARG0,ARG0,True
30,Harriet is not shot by Edwin.,Edwin does not shoot Harriet.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Edwin] does [ARGM-NEG: not] [V: shoot] [ARG1: Harriet] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Harriet] is [ARGM-NEG: not] [V: shot] [ARG0: by Edwin] .,ARG0,ARG0,True
31,Henry is not shot by Harry.,Harry does not shoot Henry.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Harry] does [ARGM-NEG: not] [V: shoot] [ARG1: Henry] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Henry] is [ARGM-NEG: not] [V: shot] [ARG0: by Harry] .,ARG0,ARG0,True
32,Alexandra is not shot by Ron.,Ron does not shoot Alexandra.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Ron] does [ARGM-NEG: not] [V: shoot] [ARG1: Alexandra] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Alexandra] is [ARGM-NEG: not] [V: shot] [ARG0: by Ron] .,ARG0,ARG0,True
33,Al is not shot by Lynn.,Lynn does not shoot Al.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Lynn] does [ARGM-NEG: not] [V: shoot] [ARG1: Al] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Al] is [ARGM-NEG: not] [V: shot] [ARG0: by Lynn] .,ARG0,ARG0,True
34,Jimmy is not shot by Edwin.,Edwin does not shoot Jimmy.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Edwin] does [ARGM-NEG: not] [V: shoot] [ARG1: Jimmy] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Jimmy] is [ARGM-NEG: not] [V: shot] [ARG0: by Edwin] .,ARG0,ARG0,True
35,Donna is not shot by Simon.,Simon does not shoot Donna.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Simon] does [ARGM-NEG: not] [V: shoot] [ARG1: Donna] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Donna] is [ARGM-NEG: not] [V: shot] [ARG0: by Simon] .,ARG0,ARG0,True
36,Charlie is not shot by Alexander.,Alexander does not shoot Charlie.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Alexander] does [ARGM-NEG: not] [V: shoot] [ARG1: Charlie] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Charlie] is [ARGM-NEG: not] [V: shot] [ARG0: by Alexander] .,ARG0,ARG0,True
