,0,pp_tag,pp_descr,1
0,Samuel walks in Virginia Beach.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: Samuel] [V: walks] [ARG1: in Virginia Beach] .,I-ARG1
1,Bill walks in Houston.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Bill] [V: walks] [ARGM-LOC: in Houston] .,I-ARGM-LOC
2,Daniel walks in Anchorage.,"['B-ARG0', 'B-V', 'O', 'B-ARG1', 'O']",[ARG0: Daniel] [V: walks] in [ARG1: Anchorage] .,B-ARG1
3,Martin walks in St. Petersburg.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Martin] [V: walks] [ARGM-LOC: in St. Petersburg] .,I-ARGM-LOC
4,Ken walks in Baton Rouge.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: Ken] [V: walks] [ARG1: in Baton Rouge] .,I-ARG1
5,Alexander walks in Jersey City.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: Alexander] [V: walks] [ARG1: in Jersey City] .,I-ARG1
6,Peter walks in Hialeah.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Peter] [V: walks] [ARGM-LOC: in Hialeah] .,I-ARGM-LOC
7,Francis walks in Atlanta.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Francis] [V: walks] [ARGM-LOC: in Atlanta] .,I-ARGM-LOC
8,John walks in New Orleans.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: John] [V: walks] [ARGM-LOC: in New Orleans] .,I-ARGM-LOC
9,Donald walks in Durham.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: Donald] [V: walks] [ARG1: in Durham] .,I-ARG1
10,Carl walks in Toledo.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Carl] [V: walks] [ARGM-LOC: in Toledo] .,I-ARGM-LOC
11,Ken walks in Oklahoma City.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: Ken] [V: walks] [ARG1: in Oklahoma City] .,I-ARG1
12,Harold walks in Tulsa.,"['B-ARG0', 'B-V', 'B-ARGM-DIR', 'I-ARGM-DIR', 'O']",[ARG0: Harold] [V: walks] [ARGM-DIR: in Tulsa] .,I-ARGM-DIR
13,John walks in Memphis.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: John] [V: walks] [ARGM-LOC: in Memphis] .,I-ARGM-LOC
14,Tim walks in Duval County.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Tim] [V: walks] [ARGM-LOC: in Duval County] .,I-ARGM-LOC
15,Martin walks in Glendale.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Martin] [V: walks] [ARGM-LOC: in Glendale] .,I-ARGM-LOC
16,"Louis walks in Washington, D.C..","['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']","[ARG0: Louis] [V: walks] [ARGM-LOC: in Washington , D.C] ..",I-ARGM-LOC
17,Roger walks in Plano.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Roger] [V: walks] [ARGM-LOC: in Plano] .,I-ARGM-LOC
