,0,pp_tag,pp_descr,1
0,Pierre walks in Poitiers.,"['B-ARG0', 'B-V', 'B-ARGM-DIR', 'I-ARGM-DIR', 'O']",[ARG0: Pierre] [V: walks] [ARGM-DIR: in Poitiers] .,I-ARGM-DIR
1,Jean-Marie walks in Tourcoing.,"['B-ARG0', 'I-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-DIR', 'I-ARGM-DIR', 'O']",[ARG0: Jean - Marie] [V: walks] [ARGM-DIR: in Tourcoing] .,I-ARGM-DIR
2,Jean walks in Saint-Pierre.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: Jean] [V: walks] [ARG1: in Saint - Pierre] .,I-ARG1
3,André walks in Asnières-sur-Seine.,André walks in Asnières-sur-Seine.,André walks in Asnières-sur-Seine.,e
4,Marcel walks in Champigny-sur-Marne.,"['B-ARG0', 'B-V', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: Marcel] [V: walks] [ARGM-MNR: in Champigny - sur - Marne] .,I-ARGM-MNR
5,Eric walks in Paris.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Eric] [V: walks] [ARGM-LOC: in Paris] .,I-ARGM-LOC
6,Jacques walks in Aulnay-sous-Bois.,"['B-ARG0', 'B-V', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: Jacques] [V: walks] [ARGM-MNR: in Aulnay - sous - Bois] .,I-ARGM-MNR
7,Eric walks in Aubervilliers.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Eric] [V: walks] [ARGM-LOC: in Aubervilliers] .,I-ARGM-LOC
8,Robert walks in Aubervilliers.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Robert] [V: walks] [ARGM-LOC: in Aubervilliers] .,I-ARGM-LOC
9,Michel walks in Le Tampon.,"['B-ARG0', 'B-V', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: Michel] [V: walks] [ARGM-MNR: in Le Tampon] .,I-ARGM-MNR
10,Emmanuel walks in Le Tampon.,"['B-ARG0', 'B-V', 'B-ARGM-DIR', 'I-ARGM-DIR', 'I-ARGM-DIR', 'O']",[ARG0: Emmanuel] [V: walks] [ARGM-DIR: in Le Tampon] .,I-ARGM-DIR
11,Maurice walks in Paris.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Maurice] [V: walks] [ARGM-LOC: in Paris] .,I-ARGM-LOC
12,Jean-Claude walks in Le Tampon.,"['B-ARG0', 'I-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: Jean - Claude] [V: walks] [ARGM-MNR: in Le Tampon] .,I-ARGM-MNR
13,Auguste walks in Dunkirk.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Auguste] [V: walks] [ARGM-LOC: in Dunkirk] .,I-ARGM-LOC
14,Benoît walks in Colombes.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Benoît] [V: walks] [ARGM-LOC: in Colombes] .,I-ARGM-LOC
15,Edmond walks in Cholet.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Edmond] [V: walks] [ARGM-LOC: in Cholet] .,I-ARGM-LOC
16,Emmanuel walks in Paris.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Emmanuel] [V: walks] [ARGM-LOC: in Paris] .,I-ARGM-LOC
17,Victor walks in Aubervilliers.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Victor] [V: walks] [ARGM-LOC: in Aubervilliers] .,I-ARGM-LOC
18,Jean-François walks in Calais.,"['B-ARG0', 'I-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Jean - François] [V: walks] [ARGM-LOC: in Calais] .,I-ARGM-LOC
19,Jean-Pierre walks in Pau.,"['B-ARG0', 'I-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Jean - Pierre] [V: walks] [ARGM-LOC: in Pau] .,I-ARGM-LOC
20,Nicolas walks in Saint-Pierre.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Nicolas] [V: walks] [ARGM-LOC: in Saint - Pierre] .,I-ARGM-LOC
21,Jean-François walks in Tourcoing.,"['B-ARG0', 'I-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Jean - François] [V: walks] [ARGM-LOC: in Tourcoing] .,I-ARGM-LOC
22,Jean-François walks in Courbevoie.,"['B-ARG0', 'I-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Jean - François] [V: walks] [ARGM-LOC: in Courbevoie] .,I-ARGM-LOC
23,Léon walks in Angers.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Léon] [V: walks] [ARGM-LOC: in Angers] .,I-ARGM-LOC
24,Albert walks in Aubervilliers.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: Albert] [V: walks] [ARG1: in Aubervilliers] .,I-ARG1
25,Eric walks in Cholet.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Eric] [V: walks] [ARGM-LOC: in Cholet] .,I-ARGM-LOC
26,David walks in Fort-de-France.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: David] [V: walks] [ARG1: in Fort - de - France] .,I-ARG1
27,Gérard walks in Poitiers.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Gérard] [V: walks] [ARGM-LOC: in Poitiers] .,I-ARGM-LOC
28,Edmond walks in Béziers.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Edmond] [V: walks] [ARGM-LOC: in Béziers] .,I-ARGM-LOC
29,Émile walks in Roubaix.,Émile walks in Roubaix.,Émile walks in Roubaix.,x
30,Joseph walks in Pau.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Joseph] [V: walks] [ARGM-LOC: in Pau] .,I-ARGM-LOC
31,Yves walks in Chambéry.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Yves] [V: walks] [ARGM-LOC: in Chambéry] .,I-ARGM-LOC
32,Jean-Marie walks in Aubervilliers.,"['B-ARG0', 'I-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-DIR', 'I-ARGM-DIR', 'O']",[ARG0: Jean - Marie] [V: walks] [ARGM-DIR: in Aubervilliers] .,I-ARGM-DIR
33,Alain walks in Aubervilliers.,Alain walks in Aubervilliers.,Alain walks in Aubervilliers.,s
34,Alain walks in Paris.,Alain walks in Paris.,Alain walks in Paris.,s
35,Antoine walks in Cannes.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Antoine] [V: walks] [ARGM-LOC: in Cannes] .,I-ARGM-LOC
36,Paul walks in Avignon.,"['B-ARG0', 'B-V', 'B-ARGM-DIR', 'I-ARGM-DIR', 'O']",[ARG0: Paul] [V: walks] [ARGM-DIR: in Avignon] .,I-ARGM-DIR
37,Roger walks in Avignon.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Roger] [V: walks] [ARGM-LOC: in Avignon] .,I-ARGM-LOC
38,Éric walks in Marseille.,"['B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Éric] [V: walks] [ARGM-LOC: in Marseille] .,I-ARGM-LOC
39,Bernard walks in Nanterre.,"['B-ARG0', 'B-V', 'B-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: Bernard] [V: walks] [ARGM-MNR: in Nanterre] .,I-ARGM-MNR
40,Claude walks in Pau.,"['B-ARG0', 'B-V', 'B-ARGM-DIR', 'I-ARGM-DIR', 'O']",[ARG0: Claude] [V: walks] [ARGM-DIR: in Pau] .,I-ARGM-DIR
41,Marie walks in Asnières-sur-Seine.,"['B-ARG0', 'B-V', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: Marie] [V: walks] [ARGM-MNR: in Asnières - sur - Seine] .,I-ARGM-MNR
