,0,pp_tag,pp_descr,1
0,I saw the rolling office chair with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: saw] [ARG1: the rolling office chair] [ARGM-MNR: with my eyes] .,I-ARGM-MNR
1,I saw the orange juice box with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: saw] [ARG1: the orange juice box] [ARGM-MNR: with my eyes] .,I-ARGM-MNR
2,I saw the telephone with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: saw] [ARG1: the telephone] [ARGM-MNR: with my eyes] .,I-ARGM-MNR
3,I saw the toothbrush with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the toothbrush with my eyes] .,I-ARG1
4,I saw the footstool with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: saw] [ARG1: the footstool] [ARGM-MNR: with my eyes] .,I-ARGM-MNR
5,I saw the pliers with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: saw] [ARG1: the pliers] [ARGM-MNR: with my eyes] .,I-ARGM-MNR
6,I saw the milk jug with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: saw] [ARG1: the milk jug] [ARGM-MNR: with my eyes] .,I-ARGM-MNR
7,I saw the book with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: saw] [ARG1: the book] [ARGM-MNR: with my eyes] .,I-ARGM-MNR
8,I saw the refrigerator with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: saw] [ARG1: the refrigerator] [ARGM-MNR: with my eyes] .,I-ARGM-MNR
9,I saw the standing lamp with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: saw] [ARG1: the standing lamp] [ARGM-MNR: with my eyes] .,I-ARGM-MNR
10,I saw the coffeepot with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: saw] [ARG1: the coffeepot] [ARGM-MNR: with my eyes] .,I-ARGM-MNR
