,0,tags_normal,descr_normal,final-1_tag_normal,inverted,tags_inverted,descr_inverted,first_tag_inverted
0,Only Leslie sleeps in that park.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Leslie] [V: sleeps] [ARGM-LOC: in that park] .,ARGM-LOC,"In that park, only Leslie sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that park] , [ARG0: only Leslie] [V: sleeps] .",ARGM-LOC
1,Only Ben sleeps in that bed.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Ben] [V: sleeps] [ARGM-LOC: in that bed] .,ARGM-LOC,"In that bed, only Ben sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that bed] , [ARG0: only Ben] [V: sleeps] .",ARGM-LOC
2,Only Lucy sleeps in that bed.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Lucy] [V: sleeps] [ARGM-LOC: in that bed] .,ARGM-LOC,"In that bed, only Lucy sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that bed] , [ARG0: only Lucy] [V: sleeps] .",ARGM-LOC
3,Only Jim sleeps in that tent.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Jim] [V: sleeps] [ARGM-LOC: in that tent] .,ARGM-LOC,"In that tent, only Jim sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that tent] , [ARG0: only Jim] [V: sleeps] .",ARGM-LOC
4,Only Joseph sleeps in that hut.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Joseph] [V: sleeps] [ARGM-LOC: in that hut] .,ARGM-LOC,"In that hut, only Joseph sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that hut] , [ARG0: only Joseph] [V: sleeps] .",ARGM-LOC
5,Only Laura sleeps in that park.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Laura] [V: sleeps] [ARGM-LOC: in that park] .,ARGM-LOC,"In that park, only Laura sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that park] , [ARG0: only Laura] [V: sleeps] .",ARGM-LOC
6,Only Adam sleeps in that bed.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Adam] [V: sleeps] [ARGM-LOC: in that bed] .,ARGM-LOC,"In that bed, only Adam sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that bed] , [ARG0: only Adam] [V: sleeps] .",ARGM-LOC
7,Only Martin sleeps in that hut.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Martin] [V: sleeps] [ARGM-LOC: in that hut] .,ARGM-LOC,"In that hut, only Martin sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that hut] , [ARG0: only Martin] [V: sleeps] .",ARGM-LOC
8,Only Matt sleeps in that park.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Matt] [V: sleeps] [ARGM-LOC: in that park] .,ARGM-LOC,"In that park, only Matt sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that park] , [ARG0: only Matt] [V: sleeps] .",ARGM-LOC
9,Only Julia sleeps in that park.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Julia] [V: sleeps] [ARGM-LOC: in that park] .,ARGM-LOC,"In that park, only Julia sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that park] , [ARG0: only Julia] [V: sleeps] .",ARGM-LOC
