,0,active,tags_act,descr_act,tags_pass,descr_pass,first_tag_act,final_min_one_pass,arg0_match
0,Victoria is not shot by Ellen.,Ellen does not shoot Victoria.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Ellen] does [ARGM-NEG: not] [V: shoot] [ARG1: Victoria] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Victoria] is [ARGM-NEG: not] [V: shot] [ARG0: by Ellen] .,ARG0,ARG0,True
1,Rose is not shot by Bill.,Bill does not shoot Rose.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Bill] does [ARGM-NEG: not] [V: shoot] [ARG1: Rose] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Rose] is [ARGM-NEG: not] [V: shot] [ARG0: by Bill] .,ARG0,ARG0,True
2,Sam is not shot by Dorothy.,Dorothy does not shoot Sam.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARGM-MNR', 'O']",[ARG0: Dorothy] does [ARGM-NEG: not] [V: shoot] [ARGM-MNR: Sam] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Sam] is [ARGM-NEG: not] [V: shot] [ARG0: by Dorothy] .,ARG0,ARG0,True
3,Thomas is not shot by Anne.,Anne does not shoot Thomas.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Anne] does [ARGM-NEG: not] [V: shoot] [ARG1: Thomas] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Thomas] is [ARGM-NEG: not] [V: shot] [ARG0: by Anne] .,ARG0,ARG0,True
4,Alex is not shot by Anna.,Anna does not shoot Alex.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Anna] does [ARGM-NEG: not] [V: shoot] [ARG1: Alex] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Alex] is [ARGM-NEG: not] [V: shot] [ARG0: by Anna] .,ARG0,ARG0,True
5,Carl is not shot by Don.,Don does not shoot Carl.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Don] does [ARGM-NEG: not] [V: shoot] [ARG1: Carl] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Carl] is [ARGM-NEG: not] [V: shot] [ARG0: by Don] .,ARG0,ARG0,True
6,Angela is not shot by Jeff.,Jeff does not shoot Angela.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG2', 'O']",[ARG0: Jeff] does [ARGM-NEG: not] [V: shoot] [ARG2: Angela] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Angela] is [ARGM-NEG: not] [V: shot] [ARG0: by Jeff] .,ARG0,ARG0,True
7,Amanda is not shot by Carol.,Carol does not shoot Amanda.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARGM-EXT', 'O']",[ARG0: Carol] does [ARGM-NEG: not] [V: shoot] [ARGM-EXT: Amanda] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Amanda] is [ARGM-NEG: not] [V: shot] [ARG0: by Carol] .,ARG0,ARG0,True
8,Bruce is not shot by Harold.,Harold does not shoot Bruce.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Harold] does [ARGM-NEG: not] [V: shoot] [ARG1: Bruce] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Bruce] is [ARGM-NEG: not] [V: shot] [ARG0: by Harold] .,ARG0,ARG0,True
9,Sally is not shot by Samuel.,Samuel does not shoot Sally.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Samuel] does [ARGM-NEG: not] [V: shoot] [ARG1: Sally] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Sally] is [ARGM-NEG: not] [V: shot] [ARG0: by Samuel] .,ARG0,ARG0,True
10,Patricia is not shot by Kathy.,Kathy does not shoot Patricia.,"['B-ARGM-MNR', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARGM-MNR: Kathy] does [ARGM-NEG: not] [V: shoot] [ARG1: Patricia] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Patricia] is [ARGM-NEG: not] [V: shot] [ARG0: by Kathy] .,ARGM-MNR,ARG0,False
11,Charles is not shot by Marie.,Marie does not shoot Charles.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARGM-EXT', 'O']",[ARG0: Marie] does [ARGM-NEG: not] [V: shoot] [ARGM-EXT: Charles] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Charles] is [ARGM-NEG: not] [V: shot] [ARG0: by Marie] .,ARG0,ARG0,True
12,Helen is not shot by Ralph.,Ralph does not shoot Helen.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARGM-EXT', 'O']",[ARG0: Ralph] does [ARGM-NEG: not] [V: shoot] [ARGM-EXT: Helen] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Helen] is [ARGM-NEG: not] [V: shot] [ARG0: by Ralph] .,ARG0,ARG0,True
13,Alison is not shot by Victoria.,Victoria does not shoot Alison.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Victoria] does [ARGM-NEG: not] [V: shoot] [ARG1: Alison] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Alison] is [ARGM-NEG: not] [V: shot] [ARG0: by Victoria] .,ARG0,ARG0,True
14,Chris is not shot by Frances.,Frances does not shoot Chris.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Frances] does [ARGM-NEG: not] [V: shoot] [ARG1: Chris] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Chris] is [ARGM-NEG: not] [V: shot] [ARG0: by Frances] .,ARG0,ARG0,True
15,Kate is not shot by Martin.,Martin does not shoot Kate.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Martin] does [ARGM-NEG: not] [V: shoot] [ARG1: Kate] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Kate] is [ARGM-NEG: not] [V: shot] [ARG0: by Martin] .,ARG0,ARG0,True
16,Sam is not shot by Mark.,Mark does not shoot Sam.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARGM-EXT', 'O']",[ARG0: Mark] does [ARGM-NEG: not] [V: shoot] [ARGM-EXT: Sam] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Sam] is [ARGM-NEG: not] [V: shot] [ARG0: by Mark] .,ARG0,ARG0,True
17,Matthew is not shot by Alexander.,Alexander does not shoot Matthew.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG2', 'O']",[ARG0: Alexander] does [ARGM-NEG: not] [V: shoot] [ARG2: Matthew] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Matthew] is [ARGM-NEG: not] [V: shot] [ARG0: by Alexander] .,ARG0,ARG0,True
18,Ellen is not shot by Frederick.,Frederick does not shoot Ellen.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG2', 'O']",[ARG0: Frederick] does [ARGM-NEG: not] [V: shoot] [ARG2: Ellen] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Ellen] is [ARGM-NEG: not] [V: shot] [ARG0: by Frederick] .,ARG0,ARG0,True
19,Joe is not shot by Fred.,Fred does not shoot Joe.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Fred] does [ARGM-NEG: not] [V: shoot] [ARG1: Joe] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Joe] is [ARGM-NEG: not] [V: shot] [ARG0: by Fred] .,ARG0,ARG0,True
20,Catherine is not shot by Sally.,Sally does not shoot Catherine.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Sally] does [ARGM-NEG: not] [V: shoot] [ARG1: Catherine] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Catherine] is [ARGM-NEG: not] [V: shot] [ARG0: by Sally] .,ARG0,ARG0,True
21,Harry is not shot by Jack.,Jack does not shoot Harry.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Jack] does [ARGM-NEG: not] [V: shoot] [ARG1: Harry] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Harry] is [ARGM-NEG: not] [V: shot] [ARG0: by Jack] .,ARG0,ARG0,True
22,Larry is not shot by Adam.,Adam does not shoot Larry.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARGM-EXT', 'O']",[ARG0: Adam] does [ARGM-NEG: not] [V: shoot] [ARGM-EXT: Larry] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Larry] is [ARGM-NEG: not] [V: shot] [ARG0: by Adam] .,ARG0,ARG0,True
23,Donna is not shot by Emily.,Emily does not shoot Donna.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARGM-EXT', 'O']",[ARG0: Emily] does [ARGM-NEG: not] [V: shoot] [ARGM-EXT: Donna] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Donna] is [ARGM-NEG: not] [V: shot] [ARG0: by Emily] .,ARG0,ARG0,True
24,Fred is not shot by Charles.,Charles does not shoot Fred.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Charles] does [ARGM-NEG: not] [V: shoot] [ARG1: Fred] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Fred] is [ARGM-NEG: not] [V: shot] [ARG0: by Charles] .,ARG0,ARG0,True
25,Stephanie is not shot by Jay.,Jay does not shoot Stephanie.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARGM-LOC', 'O']",[ARG0: Jay] does [ARGM-NEG: not] [V: shoot] [ARGM-LOC: Stephanie] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Stephanie] is [ARGM-NEG: not] [V: shot] [ARG0: by Jay] .,ARG0,ARG0,True
26,Laura is not shot by Sam.,Sam does not shoot Laura.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Sam] does [ARGM-NEG: not] [V: shoot] [ARG1: Laura] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Laura] is [ARGM-NEG: not] [V: shot] [ARG0: by Sam] .,ARG0,ARG0,True
27,Sharon is not shot by Adam.,Adam does not shoot Sharon.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARGM-EXT', 'O']",[ARG0: Adam] does [ARGM-NEG: not] [V: shoot] [ARGM-EXT: Sharon] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Sharon] is [ARGM-NEG: not] [V: shot] [ARG0: by Adam] .,ARG0,ARG0,True
28,Kathleen is not shot by Annie.,Annie does not shoot Kathleen.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARGM-EXT', 'O']",[ARG0: Annie] does [ARGM-NEG: not] [V: shoot] [ARGM-EXT: Kathleen] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Kathleen] is [ARGM-NEG: not] [V: shot] [ARG0: by Annie] .,ARG0,ARG0,True
29,Fiona is not shot by Francis.,Francis does not shoot Fiona.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Francis] does [ARGM-NEG: not] [V: shoot] [ARG1: Fiona] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Fiona] is [ARGM-NEG: not] [V: shot] [ARG0: by Francis] .,ARG0,ARG0,True
30,Andrea is not shot by Jerry.,Jerry does not shoot Andrea.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'O', 'O']",[ARG0: Jerry] does [ARGM-NEG: not] [V: shoot] Andrea .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Andrea] is [ARGM-NEG: not] [V: shot] [ARG0: by Jerry] .,ARG0,ARG0,True
31,Harold is not shot by Daniel.,Daniel does not shoot Harold.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARGM-EXT', 'O']",[ARG0: Daniel] does [ARGM-NEG: not] [V: shoot] [ARGM-EXT: Harold] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Harold] is [ARGM-NEG: not] [V: shot] [ARG0: by Daniel] .,ARG0,ARG0,True
32,Helen is not shot by Larry.,Larry does not shoot Helen.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARGM-EXT', 'O']",[ARG0: Larry] does [ARGM-NEG: not] [V: shoot] [ARGM-EXT: Helen] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Helen] is [ARGM-NEG: not] [V: shot] [ARG0: by Larry] .,ARG0,ARG0,True
33,Carl is not shot by Alex.,Alex does not shoot Carl.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Alex] does [ARGM-NEG: not] [V: shoot] [ARG1: Carl] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Carl] is [ARGM-NEG: not] [V: shot] [ARG0: by Alex] .,ARG0,ARG0,True
34,Richard is not shot by Lisa.,Lisa does not shoot Richard.,"['B-ARG0', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'O']",[ARG0: Lisa] does [ARGM-NEG: not] [V: shoot] [ARG1: Richard] .,"['B-ARG1', 'O', 'B-ARGM-NEG', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Richard] is [ARGM-NEG: not] [V: shot] [ARG0: by Lisa] .,ARG0,ARG0,True
