,0,pp_tag,pp_descr,1
0,I saw the man with the scissors.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the scissors] .,I-ARG1
1,I saw the man with the axe.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the axe] .,I-ARG1
2,I saw the man with the chair.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the chair] .,I-ARG1
3,I saw the man with the mustache.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the mustache] .,I-ARG1
4,I saw the man with the skull.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the skull] .,I-ARG1
5,I saw the man with the guns.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the guns] .,I-ARG1
6,I saw the man with the radio.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the radio] .,I-ARG1
7,I saw the man with the bottle.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the bottle] .,I-ARG1
8,I saw the man with the mask.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the mask] .,I-ARG1
9,I saw the man with the knife.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the knife] .,I-ARG1
10,I saw the man with the body.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the body] .,I-ARG1
11,I saw the man with the horse.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the horse] .,I-ARG1
12,I saw the man with the sword.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the sword] .,I-ARG1
13,I saw the man with the papers.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the papers] .,I-ARG1
14,I saw the man with the ring.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the ring] .,I-ARG1
15,I saw the man with the shovel.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the shovel] .,I-ARG1
16,I saw the man with the ax.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the ax] .,I-ARG1
17,I saw the man with the clothes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the clothes] .,I-ARG1
18,I saw the man with the beard.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the beard] .,I-ARG1
19,I saw the man with the gloves.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the gloves] .,I-ARG1
20,I saw the man with the whip.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the whip] .,I-ARG1
21,I saw the man with the cane.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the cane] .,I-ARG1
22,I saw the man with the ring.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the ring] .,I-ARG1
23,I saw the man with the bag.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the bag] .,I-ARG1
24,I saw the man with the guitar.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the guitar] .,I-ARG1
25,I saw the man with the guitar.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the guitar] .,I-ARG1
26,I saw the man with the grenade.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the grenade] .,I-ARG1
27,I saw the man with the baby.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the baby] .,I-ARG1
28,I saw the man with the weapons.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the weapons] .,I-ARG1
29,I saw the man with the hat.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the hat] .,I-ARG1
30,I saw the man with the mustache.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the mustache] .,I-ARG1
31,I saw the man with the shotgun.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the shotgun] .,I-ARG1
32,I saw the man with the scars.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the scars] .,I-ARG1
33,I saw the man with the glass.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the glass] .,I-ARG1
34,I saw the man with the pistols.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the pistols] .,I-ARG1
35,I saw the man with the arrow.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the arrow] .,I-ARG1
36,I saw the man with the knife.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the knife] .,I-ARG1
37,I saw the man with the gun.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the gun] .,I-ARG1
38,I saw the man with the medals.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the medals] .,I-ARG1
39,I saw the man with the jacket.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the jacket] .,I-ARG1
40,I saw the man with the revolver.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the revolver] .,I-ARG1
41,I saw the man with the wallet.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the wallet] .,I-ARG1
42,I saw the man with the hat.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the hat] .,I-ARG1
43,I saw the man with the stick.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the stick] .,I-ARG1
44,I saw the man with the chair.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the chair] .,I-ARG1
45,I saw the man with the scarf.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the scarf] .,I-ARG1
46,I saw the man with the horse.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the horse] .,I-ARG1
47,I saw the man with the rifle.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the rifle] .,I-ARG1
48,I saw the man with the shoes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the shoes] .,I-ARG1
49,I saw the man with the badge.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the badge] .,I-ARG1
50,I saw the man with the cigarette.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the cigarette] .,I-ARG1
51,I saw the man with the arrow.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the arrow] .,I-ARG1
52,I saw the man with the rifle.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the rifle] .,I-ARG1
53,I saw the man with the bag.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the bag] .,I-ARG1
54,I saw the man with the clipboard.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the clipboard] .,I-ARG1
55,I saw the man with the flashlight.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the flashlight] .,I-ARG1
56,I saw the man with the body.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the body] .,I-ARG1
57,I saw the man with the sunglasses.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the sunglasses] .,I-ARG1
58,I saw the man with the torch.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the torch] .,I-ARG1
59,I saw the man with the lantern.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the lantern] .,I-ARG1
60,I saw the man with the goggles.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the goggles] .,I-ARG1
61,I saw the man with the microphone.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the microphone] .,I-ARG1
62,I saw the man with the camera.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the camera] .,I-ARG1
63,I saw the man with the bottle.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the bottle] .,I-ARG1
64,I saw the man with the bag.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the bag] .,I-ARG1
65,I saw the man with the papers.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the man with the papers] .,I-ARG1
