,original,switched,tags_original,descr_original,tags_switched,descr_switched,final-1_arg_original,first_arg_switch,orginal_switched_match
0,I will eat that feijoa.,"That feijoa, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that feijoa] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That feijoa] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
1,I will eat that lanseh.,"That lanseh, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that lanseh] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That lanseh] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
2,I will eat that delicatessen.,"That delicatessen, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that delicatessen] .,"['O', 'O', 'O', 'O', 'B-V', 'O', 'O']","That delicatessen , I [V: will] eat .",ARG1,O,False
3,I will eat that turnip.,"That turnip, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that turnip] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That turnip] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
4,I will eat that jack.,"That jack, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that jack] .,"['B-ARGM-DIS', 'I-ARGM-DIS', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARGM-DIS: That jack] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARGM-DIS,False
5,I will eat that cappelletti.,"That cappelletti, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that cappelletti] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That cappelletti] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
6,I will eat that bean.,"That bean, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that bean] .,"['B-ARGM-DIS', 'I-ARGM-DIS', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARGM-DIS: That bean] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARGM-DIS,False
7,I will eat that tunny.,"That tunny, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that tunny] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That tunny] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
8,I will eat that mulberry.,"That mulberry, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that mulberry] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That mulberry] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
9,I will eat that twinkie.,"That twinkie, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that twinkie] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That twinkie] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
